topology,routing,tpattern,load,seed,logfile
slimfly_5,static,shuffle,0.4,13,results_insee/slimfly_5_static_shuffle_load0.4_seed13.log
slimfly_5,static,shuffle,0.6,13,results_insee/slimfly_5_static_shuffle_load0.6_seed13.log
slimfly_5,static,shuffle,0.8,13,results_insee/slimfly_5_static_shuffle_load0.8_seed13.log
slimfly_7,static,uniform,0.2,13,results_insee/slimfly_7_static_uniform_load0.2_seed13.log
slimfly_7,static,uniform,0.4,13,results_insee/slimfly_7_static_uniform_load0.4_seed13.log
slimfly_7,static,uniform,0.6,13,results_insee/slimfly_7_static_uniform_load0.6_seed13.log
slimfly_7,static,uniform,0.8,13,results_insee/slimfly_7_static_uniform_load0.8_seed13.log
slimfly_7,static,hotregion,0.2,13,results_insee/slimfly_7_static_hotregion_load0.2_seed13.log
slimfly_7,static,hotregion,0.4,13,results_insee/slimfly_7_static_hotregion_load0.4_seed13.log
slimfly_7,static,hotregion,0.6,13,results_insee/slimfly_7_static_hotregion_load0.6_seed13.log
slimfly_7,static,hotregion,0.8,13,results_insee/slimfly_7_static_hotregion_load0.8_seed13.log
slimfly_7,static,shuffle,0.2,13,results_insee/slimfly_7_static_shuffle_load0.2_seed13.log
slimfly_7,static,shuffle,0.4,13,results_insee/slimfly_7_static_shuffle_load0.4_seed13.log
slimfly_7,static,shuffle,0.6,13,results_insee/slimfly_7_static_shuffle_load0.6_seed13.log
slimfly_7,static,shuffle,0.8,13,results_insee/slimfly_7_static_shuffle_load0.8_seed13.log
