family,topo_name,size_param,tpattern,n_servers,n_switches,switch_radix,n_links,path_mean,path_std,path_max,hop_mean,hop_std,flows_link_mean,flows_link_std,flows_link_max,flows_bottleneck,flows_over_mean,p_flows_connected
MegaFly,megafly_4,4,hotregion_10,20.0,20.0,4.0,100.0,4.633333333333334,0.8999576666666668,5.0,0.9666666666666667,0.10540933333333334,0.4633333333333333,0.7057183333333333,2.6666666666666665,158.33333333333334,867.8149273333333,100.0
MegaFly,megafly_4,4,hotregion_100,20.0,20.0,4.0,100.0,4.516666666666667,1.1687866666666666,5.0,0.9666666666666667,0.17994666666666667,4.516666666666667,3.684521333333333,21.666666666666668,17.70202,88.57589833333334,100.0
MegaFly,megafly_4,4,hotregion_500,20.0,20.0,4.0,100.0,4.500666666666667,1.237516,5.0,0.9533333333333333,0.2106,22.503333333333334,14.281624333333333,90.66666666666667,4.192635666666667,17.775684666666667,100.0
MegaFly,megafly_4,4,onetoall,20.0,20.0,4.0,100.0,4.5,1.277333,5.0,0.9499999999999998,0.223607,0.9,2.384716,19.0,20.0,444.444444,100.0
MegaFly,megafly_4,4,random_10000,20.0,20.0,4.0,100.0,4.507266666666666,1.2355803333333333,5.0,0.9505666666666667,0.21676166666666666,450.7266666666667,47.25873933333333,540.0,0.7046973333333334,0.887457,100.0
MegaFly,megafly_4,4,random_100000,20.0,20.0,4.0,100.0,4.503473333333333,1.240999,5.0,0.9501466666666666,0.21764133333333335,4503.473333333333,428.67092,5149.0,0.073804,0.08882033333333333,100.0
MegaFly,megafly_4,4,random_5000,20.0,20.0,4.0,100.0,4.5156,1.2256393333333333,5.0,0.9516,0.21443766666666667,225.78,26.705534,282.3333333333333,1.3479489999999998,1.7716826666666667,100.0
MegaFly,megafly_4,4,random_50000,20.0,20.0,4.0,100.0,4.503480000000001,1.2406453333333334,5.0,0.9502533333333334,0.21741433333333335,2251.74,216.71859166666664,2610.6666666666665,0.14559166666666667,0.17764066666666667,100.0
MegaFly,megafly_4,4,shift_1,20.0,20.0,4.0,100.0,3.25,1.332785,5.0,1.0,0.0,0.65,0.47937199999999996,1.0,380.0,615.384615,100.0
MegaFly,megafly_4,4,shift_10,20.0,20.0,4.0,100.0,5.0,0.0,5.0,1.0,0.0,1.0,0.778499,2.0,190.0,400.0,100.0
MegaFly,megafly_4,4,shift_100,20.0,20.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0
