topology,routing,traffic,mode,seed,logfile
slimfly_17,dragonfly_min,hotregion_500,static,99,results/slimfly_17_dragonfly_min_hotregion_500_seed99.log
slimfly_17,dragonfly_min,shift_1,static,13,results/slimfly_17_dragonfly_min_shift_1_seed13.log
slimfly_17,dragonfly_min,shift_1,static,42,results/slimfly_17_dragonfly_min_shift_1_seed42.log
slimfly_17,dragonfly_min,shift_1,static,99,results/slimfly_17_dragonfly_min_shift_1_seed99.log
slimfly_17,dragonfly_min,shift_10,static,13,results/slimfly_17_dragonfly_min_shift_10_seed13.log
slimfly_17,dragonfly_min,shift_10,static,42,results/slimfly_17_dragonfly_min_shift_10_seed42.log
slimfly_17,dragonfly_min,shift_10,static,99,results/slimfly_17_dragonfly_min_shift_10_seed99.log
slimfly_17,dragonfly_min,shift_100,static,13,results/slimfly_17_dragonfly_min_shift_100_seed13.log
slimfly_17,dragonfly_min,shift_100,static,42,results/slimfly_17_dragonfly_min_shift_100_seed42.log
slimfly_17,dragonfly_min,shift_100,static,99,results/slimfly_17_dragonfly_min_shift_100_seed99.log
slimfly_17,dragonfly_min,alltoone,static,13,results/slimfly_17_dragonfly_min_alltoone_seed13.log
slimfly_17,dragonfly_min,alltoone,static,42,results/slimfly_17_dragonfly_min_alltoone_seed42.log
slimfly_17,dragonfly_min,alltoone,static,99,results/slimfly_17_dragonfly_min_alltoone_seed99.log
slimfly_17,dragonfly_min,onetoall,static,13,results/slimfly_17_dragonfly_min_onetoall_seed13.log
slimfly_17,dragonfly_min,onetoall,static,42,results/slimfly_17_dragonfly_min_onetoall_seed42.log
slimfly_17,dragonfly_min,onetoall,static,99,results/slimfly_17_dragonfly_min_onetoall_seed99.log
