#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./slimfly_p15_a19_h19_min_sequential_fr0.00_seed13.2026.03.31.12.13_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0        10 0.00010         0        10 0.00010         0        24 0.00056 
        1     99990 0.99990         2       144 0.00144         1       145 0.00340 
      nan       nan     nan         3      4073 0.04073         2       363 0.00852 
      nan       nan     nan         4     95773 0.95773         3       758 0.01779 
      nan       nan     nan       nan       nan     nan         4      1438 0.03376 
      nan       nan     nan       nan       nan     nan         5      2438 0.05723 
      nan       nan     nan       nan       nan     nan         6      3398 0.07977 
      nan       nan     nan       nan       nan     nan         7      4479 0.10515 
      nan       nan     nan       nan       nan     nan         8      5105 0.11984 
      nan       nan     nan       nan       nan     nan         9      5125 0.12031 
      nan       nan     nan       nan       nan     nan        10      4810 0.11292 
      nan       nan     nan       nan       nan     nan        11      4142 0.09723 
      nan       nan     nan       nan       nan     nan        12      3343 0.07848 
      nan       nan     nan       nan       nan     nan        13      2504 0.05878 
      nan       nan     nan       nan       nan     nan        14      1767 0.04148 
      nan       nan     nan       nan       nan     nan        15      1170 0.02747 
      nan       nan     nan       nan       nan     nan        16       720 0.01690 
      nan       nan     nan       nan       nan     nan        17       396 0.00930 
      nan       nan     nan       nan       nan     nan        18       245 0.00575 
      nan       nan     nan       nan       nan     nan        19       124 0.00291 
      nan       nan     nan       nan       nan     nan        20        56 0.00131 
      nan       nan     nan       nan       nan     nan        21        27 0.00063 
      nan       nan     nan       nan       nan     nan        22         8 0.00019 
      nan       nan     nan       nan       nan     nan        23         7 0.00016 
      nan       nan     nan       nan       nan     nan        24         5 0.00012 
      nan       nan     nan       nan       nan     nan        26         1 0.00002 
