#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./slimfly_p10_a13_h13_min_sequential_fr0.00_seed13.2026.03.27.11.11_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0        35 0.00035         0        35 0.00035         9         1 0.00008 
        1     99965 0.99965         2       265 0.00265        11         3 0.00023 
      nan       nan     nan         3      5496 0.05496        12         4 0.00030 
      nan       nan     nan         4     94204 0.94204        13         6 0.00046 
      nan       nan     nan       nan       nan     nan        14        16 0.00121 
      nan       nan     nan       nan       nan     nan        15        19 0.00144 
      nan       nan     nan       nan       nan     nan        16        49 0.00372 
      nan       nan     nan       nan       nan     nan        17        67 0.00508 
      nan       nan     nan       nan       nan     nan        18       120 0.00910 
      nan       nan     nan       nan       nan     nan        19       171 0.01297 
      nan       nan     nan       nan       nan     nan        20       226 0.01714 
      nan       nan     nan       nan       nan     nan        21       309 0.02344 
      nan       nan     nan       nan       nan     nan        22       394 0.02989 
      nan       nan     nan       nan       nan     nan        23       452 0.03429 
      nan       nan     nan       nan       nan     nan        24       552 0.04188 
      nan       nan     nan       nan       nan     nan        25       688 0.05219 
      nan       nan     nan       nan       nan     nan        26       732 0.05553 
      nan       nan     nan       nan       nan     nan        27       819 0.06213 
      nan       nan     nan       nan       nan     nan        28       905 0.06865 
      nan       nan     nan       nan       nan     nan        29       888 0.06736 
      nan       nan     nan       nan       nan     nan        30       857 0.06501 
      nan       nan     nan       nan       nan     nan        31       881 0.06683 
      nan       nan     nan       nan       nan     nan        32       770 0.05841 
      nan       nan     nan       nan       nan     nan        33       775 0.05879 
      nan       nan     nan       nan       nan     nan        34       676 0.05128 
      nan       nan     nan       nan       nan     nan        35       591 0.04483 
      nan       nan     nan       nan       nan     nan        36       468 0.03550 
      nan       nan     nan       nan       nan     nan        37       402 0.03050 
      nan       nan     nan       nan       nan     nan        38       345 0.02617 
      nan       nan     nan       nan       nan     nan        39       261 0.01980 
      nan       nan     nan       nan       nan     nan        40       203 0.01540 
      nan       nan     nan       nan       nan     nan        41       137 0.01039 
      nan       nan     nan       nan       nan     nan        42       116 0.00880 
      nan       nan     nan       nan       nan     nan        43        84 0.00637 
      nan       nan     nan       nan       nan     nan        44        71 0.00539 
      nan       nan     nan       nan       nan     nan        45        52 0.00394 
      nan       nan     nan       nan       nan     nan        46        17 0.00129 
      nan       nan     nan       nan       nan     nan        47        20 0.00152 
      nan       nan     nan       nan       nan     nan        48        11 0.00083 
      nan       nan     nan       nan       nan     nan        49         9 0.00068 
      nan       nan     nan       nan       nan     nan        50         7 0.00053 
      nan       nan     nan       nan       nan     nan        52         4 0.00030 
      nan       nan     nan       nan       nan     nan        53         1 0.00008 
      nan       nan     nan       nan       nan     nan        54         1 0.00008 
      nan       nan     nan       nan       nan     nan        55         2 0.00015 
