#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./slimfly_p3_a3_h3_min_sequential_fr0.00_seed99.2026.05.12.12.15_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0      1931 0.01931         0      1931 0.01931      1117         1 0.00505 
        1     98069 0.98069         2      3709 0.03709      1148         1 0.00505 
      nan       nan     nan         3     27816 0.27816      1197         2 0.01010 
      nan       nan     nan         4     66544 0.66544      1198         1 0.00505 
      nan       nan     nan       nan       nan     nan      1199         1 0.00505 
      nan       nan     nan       nan       nan     nan      1202         1 0.00505 
      nan       nan     nan       nan       nan     nan      1207         1 0.00505 
      nan       nan     nan       nan       nan     nan      1209         1 0.00505 
      nan       nan     nan       nan       nan     nan      1210         1 0.00505 
      nan       nan     nan       nan       nan     nan      1211         1 0.00505 
      nan       nan     nan       nan       nan     nan      1212         1 0.00505 
      nan       nan     nan       nan       nan     nan      1213         1 0.00505 
      nan       nan     nan       nan       nan     nan      1216         1 0.00505 
      nan       nan     nan       nan       nan     nan      1220         1 0.00505 
      nan       nan     nan       nan       nan     nan      1221         1 0.00505 
      nan       nan     nan       nan       nan     nan      1232         1 0.00505 
      nan       nan     nan       nan       nan     nan      1235         1 0.00505 
      nan       nan     nan       nan       nan     nan      1236         1 0.00505 
      nan       nan     nan       nan       nan     nan      1239         1 0.00505 
      nan       nan     nan       nan       nan     nan      1240         1 0.00505 
      nan       nan     nan       nan       nan     nan      1246         1 0.00505 
      nan       nan     nan       nan       nan     nan      1247         2 0.01010 
      nan       nan     nan       nan       nan     nan      1248         1 0.00505 
      nan       nan     nan       nan       nan     nan      1250         1 0.00505 
      nan       nan     nan       nan       nan     nan      1251         1 0.00505 
      nan       nan     nan       nan       nan     nan      1254         1 0.00505 
      nan       nan     nan       nan       nan     nan      1256         1 0.00505 
      nan       nan     nan       nan       nan     nan      1264         1 0.00505 
      nan       nan     nan       nan       nan     nan      1267         2 0.01010 
      nan       nan     nan       nan       nan     nan      1275         1 0.00505 
      nan       nan     nan       nan       nan     nan      1295         1 0.00505 
      nan       nan     nan       nan       nan     nan      1301         1 0.00505 
      nan       nan     nan       nan       nan     nan      1320         1 0.00505 
      nan       nan     nan       nan       nan     nan      1702         1 0.00505 
      nan       nan     nan       nan       nan     nan      1718         1 0.00505 
      nan       nan     nan       nan       nan     nan      1740         1 0.00505 
      nan       nan     nan       nan       nan     nan      1742         1 0.00505 
      nan       nan     nan       nan       nan     nan      1746         1 0.00505 
      nan       nan     nan       nan       nan     nan      1747         1 0.00505 
      nan       nan     nan       nan       nan     nan      1750         1 0.00505 
      nan       nan     nan       nan       nan     nan      1751         1 0.00505 
      nan       nan     nan       nan       nan     nan      1753         1 0.00505 
      nan       nan     nan       nan       nan     nan      1755         1 0.00505 
      nan       nan     nan       nan       nan     nan      1757         1 0.00505 
      nan       nan     nan       nan       nan     nan      1758         1 0.00505 
      nan       nan     nan       nan       nan     nan      1760         1 0.00505 
      nan       nan     nan       nan       nan     nan      1763         1 0.00505 
      nan       nan     nan       nan       nan     nan      1764         2 0.01010 
      nan       nan     nan       nan       nan     nan      1767         1 0.00505 
      nan       nan     nan       nan       nan     nan      1771         1 0.00505 
      nan       nan     nan       nan       nan     nan      1774         2 0.01010 
      nan       nan     nan       nan       nan     nan      1775         1 0.00505 
      nan       nan     nan       nan       nan     nan      1779         1 0.00505 
      nan       nan     nan       nan       nan     nan      1780         1 0.00505 
      nan       nan     nan       nan       nan     nan      1781         1 0.00505 
      nan       nan     nan       nan       nan     nan      1782         2 0.01010 
      nan       nan     nan       nan       nan     nan      1785         2 0.01010 
      nan       nan     nan       nan       nan     nan      1786         1 0.00505 
      nan       nan     nan       nan       nan     nan      1787         1 0.00505 
      nan       nan     nan       nan       nan     nan      1790         2 0.01010 
      nan       nan     nan       nan       nan     nan      1791         3 0.01515 
      nan       nan     nan       nan       nan     nan      1792         1 0.00505 
      nan       nan     nan       nan       nan     nan      1795         3 0.01515 
