#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./slimfly_p4_a5_h5_valiant_sequential_fr0.00_seed13.2026.05.19.21.10_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0       501 0.00501         0       501 0.00501       895         1 0.00133 
        1      3544 0.03544         2      1534 0.01534       898         2 0.00267 
        2     95955 0.95955         3       267 0.00267       901         1 0.00133 
      nan       nan     nan         4      1743 0.01743       905         1 0.00133 
      nan       nan     nan         5       268 0.00268       907         1 0.00133 
      nan       nan     nan         6      3372 0.03372       908         1 0.00133 
      nan       nan     nan         7     23474 0.23474       910         1 0.00133 
      nan       nan     nan         8     68841 0.68841       911         2 0.00267 
      nan       nan     nan       nan       nan     nan       914         1 0.00133 
      nan       nan     nan       nan       nan     nan       915         2 0.00267 
      nan       nan     nan       nan       nan     nan       916         2 0.00267 
      nan       nan     nan       nan       nan     nan       918         1 0.00133 
      nan       nan     nan       nan       nan     nan       919         1 0.00133 
      nan       nan     nan       nan       nan     nan       920         1 0.00133 
      nan       nan     nan       nan       nan     nan       921         2 0.00267 
      nan       nan     nan       nan       nan     nan       922         1 0.00133 
      nan       nan     nan       nan       nan     nan       924         1 0.00133 
      nan       nan     nan       nan       nan     nan       925         1 0.00133 
      nan       nan     nan       nan       nan     nan       926         1 0.00133 
      nan       nan     nan       nan       nan     nan       927         2 0.00267 
      nan       nan     nan       nan       nan     nan       929         1 0.00133 
      nan       nan     nan       nan       nan     nan       930         3 0.00400 
      nan       nan     nan       nan       nan     nan       931         1 0.00133 
      nan       nan     nan       nan       nan     nan       932         1 0.00133 
      nan       nan     nan       nan       nan     nan       933         5 0.00667 
      nan       nan     nan       nan       nan     nan       934         4 0.00533 
      nan       nan     nan       nan       nan     nan       935         3 0.00400 
      nan       nan     nan       nan       nan     nan       936         1 0.00133 
      nan       nan     nan       nan       nan     nan       937         3 0.00400 
      nan       nan     nan       nan       nan     nan       938         2 0.00267 
      nan       nan     nan       nan       nan     nan       940         2 0.00267 
      nan       nan     nan       nan       nan     nan       941         3 0.00400 
      nan       nan     nan       nan       nan     nan       942         4 0.00533 
      nan       nan     nan       nan       nan     nan       943         2 0.00267 
      nan       nan     nan       nan       nan     nan       944         5 0.00667 
      nan       nan     nan       nan       nan     nan       945         4 0.00533 
      nan       nan     nan       nan       nan     nan       946         1 0.00133 
      nan       nan     nan       nan       nan     nan       947         4 0.00533 
      nan       nan     nan       nan       nan     nan       948         1 0.00133 
      nan       nan     nan       nan       nan     nan       949         5 0.00667 
      nan       nan     nan       nan       nan     nan       950         3 0.00400 
      nan       nan     nan       nan       nan     nan       951         2 0.00267 
      nan       nan     nan       nan       nan     nan       952         6 0.00800 
      nan       nan     nan       nan       nan     nan       953         4 0.00533 
      nan       nan     nan       nan       nan     nan       954         6 0.00800 
      nan       nan     nan       nan       nan     nan       955         3 0.00400 
      nan       nan     nan       nan       nan     nan       956         4 0.00533 
      nan       nan     nan       nan       nan     nan       957         8 0.01067 
      nan       nan     nan       nan       nan     nan       958         4 0.00533 
      nan       nan     nan       nan       nan     nan       959         5 0.00667 
      nan       nan     nan       nan       nan     nan       960         5 0.00667 
      nan       nan     nan       nan       nan     nan       961         5 0.00667 
      nan       nan     nan       nan       nan     nan       962         6 0.00800 
      nan       nan     nan       nan       nan     nan       963         3 0.00400 
      nan       nan     nan       nan       nan     nan       964         6 0.00800 
      nan       nan     nan       nan       nan     nan       965         7 0.00933 
      nan       nan     nan       nan       nan     nan       966         8 0.01067 
      nan       nan     nan       nan       nan     nan       967         7 0.00933 
      nan       nan     nan       nan       nan     nan       968         3 0.00400 
      nan       nan     nan       nan       nan     nan       969         6 0.00800 
      nan       nan     nan       nan       nan     nan       970         2 0.00267 
      nan       nan     nan       nan       nan     nan       971         6 0.00800 
      nan       nan     nan       nan       nan     nan       972         8 0.01067 
      nan       nan     nan       nan       nan     nan       973         2 0.00267 
      nan       nan     nan       nan       nan     nan       974        10 0.01333 
      nan       nan     nan       nan       nan     nan       975         8 0.01067 
      nan       nan     nan       nan       nan     nan       976        10 0.01333 
      nan       nan     nan       nan       nan     nan       977         4 0.00533 
      nan       nan     nan       nan       nan     nan       978         7 0.00933 
      nan       nan     nan       nan       nan     nan       979         8 0.01067 
      nan       nan     nan       nan       nan     nan       980        14 0.01867 
      nan       nan     nan       nan       nan     nan       981         6 0.00800 
      nan       nan     nan       nan       nan     nan       982         9 0.01200 
      nan       nan     nan       nan       nan     nan       983         8 0.01067 
      nan       nan     nan       nan       nan     nan       984        14 0.01867 
      nan       nan     nan       nan       nan     nan       985         9 0.01200 
      nan       nan     nan       nan       nan     nan       986         8 0.01067 
      nan       nan     nan       nan       nan     nan       987         6 0.00800 
      nan       nan     nan       nan       nan     nan       988         5 0.00667 
      nan       nan     nan       nan       nan     nan       989         7 0.00933 
      nan       nan     nan       nan       nan     nan       990         9 0.01200 
      nan       nan     nan       nan       nan     nan       991        11 0.01467 
      nan       nan     nan       nan       nan     nan       992        11 0.01467 
      nan       nan     nan       nan       nan     nan       993         1 0.00133 
      nan       nan     nan       nan       nan     nan       994        12 0.01600 
      nan       nan     nan       nan       nan     nan       995        12 0.01600 
      nan       nan     nan       nan       nan     nan       996         6 0.00800 
      nan       nan     nan       nan       nan     nan       997         6 0.00800 
      nan       nan     nan       nan       nan     nan       998         6 0.00800 
      nan       nan     nan       nan       nan     nan       999         6 0.00800 
      nan       nan     nan       nan       nan     nan      1000         5 0.00667 
      nan       nan     nan       nan       nan     nan      1001         2 0.00267 
      nan       nan     nan       nan       nan     nan      1002         8 0.01067 
      nan       nan     nan       nan       nan     nan      1003         8 0.01067 
      nan       nan     nan       nan       nan     nan      1004         3 0.00400 
      nan       nan     nan       nan       nan     nan      1005         8 0.01067 
      nan       nan     nan       nan       nan     nan      1006        12 0.01600 
      nan       nan     nan       nan       nan     nan      1007         6 0.00800 
      nan       nan     nan       nan       nan     nan      1008         8 0.01067 
      nan       nan     nan       nan       nan     nan      1009         9 0.01200 
      nan       nan     nan       nan       nan     nan      1010         6 0.00800 
      nan       nan     nan       nan       nan     nan      1011        10 0.01333 
      nan       nan     nan       nan       nan     nan      1012         7 0.00933 
      nan       nan     nan       nan       nan     nan      1013         4 0.00533 
      nan       nan     nan       nan       nan     nan      1014         6 0.00800 
      nan       nan     nan       nan       nan     nan      1015         6 0.00800 
      nan       nan     nan       nan       nan     nan      1016         4 0.00533 
      nan       nan     nan       nan       nan     nan      1017         4 0.00533 
      nan       nan     nan       nan       nan     nan      1018         3 0.00400 
      nan       nan     nan       nan       nan     nan      1019         5 0.00667 
      nan       nan     nan       nan       nan     nan      1020         5 0.00667 
      nan       nan     nan       nan       nan     nan      1021         6 0.00800 
      nan       nan     nan       nan       nan     nan      1022         6 0.00800 
      nan       nan     nan       nan       nan     nan      1023         6 0.00800 
      nan       nan     nan       nan       nan     nan      1024         6 0.00800 
      nan       nan     nan       nan       nan     nan      1025        12 0.01600 
      nan       nan     nan       nan       nan     nan      1026         6 0.00800 
      nan       nan     nan       nan       nan     nan      1027         3 0.00400 
      nan       nan     nan       nan       nan     nan      1028         5 0.00667 
      nan       nan     nan       nan       nan     nan      1029         4 0.00533 
      nan       nan     nan       nan       nan     nan      1030         3 0.00400 
      nan       nan     nan       nan       nan     nan      1031         5 0.00667 
      nan       nan     nan       nan       nan     nan      1032         4 0.00533 
      nan       nan     nan       nan       nan     nan      1033         4 0.00533 
      nan       nan     nan       nan       nan     nan      1034        10 0.01333 
      nan       nan     nan       nan       nan     nan      1035         6 0.00800 
      nan       nan     nan       nan       nan     nan      1036         6 0.00800 
      nan       nan     nan       nan       nan     nan      1037         4 0.00533 
      nan       nan     nan       nan       nan     nan      1038         5 0.00667 
      nan       nan     nan       nan       nan     nan      1039         4 0.00533 
      nan       nan     nan       nan       nan     nan      1040         5 0.00667 
      nan       nan     nan       nan       nan     nan      1041         7 0.00933 
      nan       nan     nan       nan       nan     nan      1042         3 0.00400 
      nan       nan     nan       nan       nan     nan      1043         2 0.00267 
      nan       nan     nan       nan       nan     nan      1044         3 0.00400 
      nan       nan     nan       nan       nan     nan      1045         2 0.00267 
      nan       nan     nan       nan       nan     nan      1046         4 0.00533 
      nan       nan     nan       nan       nan     nan      1047         3 0.00400 
      nan       nan     nan       nan       nan     nan      1048         7 0.00933 
      nan       nan     nan       nan       nan     nan      1049         2 0.00267 
      nan       nan     nan       nan       nan     nan      1050         3 0.00400 
      nan       nan     nan       nan       nan     nan      1051         3 0.00400 
      nan       nan     nan       nan       nan     nan      1052         1 0.00133 
      nan       nan     nan       nan       nan     nan      1053         5 0.00667 
      nan       nan     nan       nan       nan     nan      1055         2 0.00267 
      nan       nan     nan       nan       nan     nan      1056         2 0.00267 
      nan       nan     nan       nan       nan     nan      1057         5 0.00667 
      nan       nan     nan       nan       nan     nan      1058         2 0.00267 
      nan       nan     nan       nan       nan     nan      1059         2 0.00267 
      nan       nan     nan       nan       nan     nan      1060         1 0.00133 
      nan       nan     nan       nan       nan     nan      1062         2 0.00267 
      nan       nan     nan       nan       nan     nan      1064         1 0.00133 
      nan       nan     nan       nan       nan     nan      1065         1 0.00133 
      nan       nan     nan       nan       nan     nan      1066         3 0.00400 
      nan       nan     nan       nan       nan     nan      1067         1 0.00133 
      nan       nan     nan       nan       nan     nan      1068         1 0.00133 
      nan       nan     nan       nan       nan     nan      1069         2 0.00267 
      nan       nan     nan       nan       nan     nan      1070         1 0.00133 
      nan       nan     nan       nan       nan     nan      1072         1 0.00133 
      nan       nan     nan       nan       nan     nan      1073         4 0.00533 
      nan       nan     nan       nan       nan     nan      1074         1 0.00133 
      nan       nan     nan       nan       nan     nan      1076         1 0.00133 
      nan       nan     nan       nan       nan     nan      1077         3 0.00400 
      nan       nan     nan       nan       nan     nan      1078         2 0.00267 
      nan       nan     nan       nan       nan     nan      1081         2 0.00267 
      nan       nan     nan       nan       nan     nan      1082         1 0.00133 
      nan       nan     nan       nan       nan     nan      1083         1 0.00133 
      nan       nan     nan       nan       nan     nan      1086         1 0.00133 
      nan       nan     nan       nan       nan     nan      1087         2 0.00267 
      nan       nan     nan       nan       nan     nan      1089         2 0.00267 
      nan       nan     nan       nan       nan     nan      1092         1 0.00133 
      nan       nan     nan       nan       nan     nan      1093         1 0.00133 
      nan       nan     nan       nan       nan     nan      1095         1 0.00133 
      nan       nan     nan       nan       nan     nan      1100         1 0.00133 
      nan       nan     nan       nan       nan     nan      1108         1 0.00133 
      nan       nan     nan       nan       nan     nan      1121         1 0.00133 
