#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./slimfly_p4_a5_h5_min_sequential_fr0.00_seed13.2026.06.09.21.55_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0       507 0.00507         0       507 0.00507       437         1 0.00133 
        1     99493 0.99493         2      1541 0.01541       438         1 0.00133 
      nan       nan     nan         3     13785 0.13785       444         1 0.00133 
      nan       nan     nan         4     84167 0.84167       445         1 0.00133 
      nan       nan     nan       nan       nan     nan       448         3 0.00400 
      nan       nan     nan       nan       nan     nan       450         1 0.00133 
      nan       nan     nan       nan       nan     nan       451         1 0.00133 
      nan       nan     nan       nan       nan     nan       455         1 0.00133 
      nan       nan     nan       nan       nan     nan       456         2 0.00267 
      nan       nan     nan       nan       nan     nan       458         3 0.00400 
      nan       nan     nan       nan       nan     nan       459         2 0.00267 
      nan       nan     nan       nan       nan     nan       460         3 0.00400 
      nan       nan     nan       nan       nan     nan       461         4 0.00533 
      nan       nan     nan       nan       nan     nan       462         3 0.00400 
      nan       nan     nan       nan       nan     nan       463         3 0.00400 
      nan       nan     nan       nan       nan     nan       464         3 0.00400 
      nan       nan     nan       nan       nan     nan       465         6 0.00800 
      nan       nan     nan       nan       nan     nan       466         4 0.00533 
      nan       nan     nan       nan       nan     nan       467         4 0.00533 
      nan       nan     nan       nan       nan     nan       468         6 0.00800 
      nan       nan     nan       nan       nan     nan       469         5 0.00667 
      nan       nan     nan       nan       nan     nan       470         6 0.00800 
      nan       nan     nan       nan       nan     nan       471         2 0.00267 
      nan       nan     nan       nan       nan     nan       472         1 0.00133 
      nan       nan     nan       nan       nan     nan       473         7 0.00933 
      nan       nan     nan       nan       nan     nan       474         3 0.00400 
      nan       nan     nan       nan       nan     nan       475         9 0.01200 
      nan       nan     nan       nan       nan     nan       476         6 0.00800 
      nan       nan     nan       nan       nan     nan       477         5 0.00667 
      nan       nan     nan       nan       nan     nan       478         6 0.00800 
      nan       nan     nan       nan       nan     nan       479         8 0.01067 
      nan       nan     nan       nan       nan     nan       480         3 0.00400 
      nan       nan     nan       nan       nan     nan       481         1 0.00133 
      nan       nan     nan       nan       nan     nan       482         6 0.00800 
      nan       nan     nan       nan       nan     nan       483         7 0.00933 
      nan       nan     nan       nan       nan     nan       484         9 0.01200 
      nan       nan     nan       nan       nan     nan       485        11 0.01467 
      nan       nan     nan       nan       nan     nan       486         5 0.00667 
      nan       nan     nan       nan       nan     nan       487        11 0.01467 
      nan       nan     nan       nan       nan     nan       488         9 0.01200 
      nan       nan     nan       nan       nan     nan       489        12 0.01600 
      nan       nan     nan       nan       nan     nan       490         8 0.01067 
      nan       nan     nan       nan       nan     nan       491         7 0.00933 
      nan       nan     nan       nan       nan     nan       492         9 0.01200 
      nan       nan     nan       nan       nan     nan       493        10 0.01333 
      nan       nan     nan       nan       nan     nan       494         5 0.00667 
      nan       nan     nan       nan       nan     nan       495        11 0.01467 
      nan       nan     nan       nan       nan     nan       496        11 0.01467 
      nan       nan     nan       nan       nan     nan       497        14 0.01867 
      nan       nan     nan       nan       nan     nan       498        16 0.02133 
      nan       nan     nan       nan       nan     nan       499         9 0.01200 
      nan       nan     nan       nan       nan     nan       500         8 0.01067 
      nan       nan     nan       nan       nan     nan       501         8 0.01067 
      nan       nan     nan       nan       nan     nan       502        19 0.02533 
      nan       nan     nan       nan       nan     nan       503         7 0.00933 
      nan       nan     nan       nan       nan     nan       504         7 0.00933 
      nan       nan     nan       nan       nan     nan       505         8 0.01067 
      nan       nan     nan       nan       nan     nan       506        12 0.01600 
      nan       nan     nan       nan       nan     nan       507        18 0.02400 
      nan       nan     nan       nan       nan     nan       508        10 0.01333 
      nan       nan     nan       nan       nan     nan       509        15 0.02000 
      nan       nan     nan       nan       nan     nan       510         9 0.01200 
      nan       nan     nan       nan       nan     nan       511        10 0.01333 
      nan       nan     nan       nan       nan     nan       512        10 0.01333 
      nan       nan     nan       nan       nan     nan       513         8 0.01067 
      nan       nan     nan       nan       nan     nan       514        15 0.02000 
      nan       nan     nan       nan       nan     nan       515        13 0.01733 
      nan       nan     nan       nan       nan     nan       516         7 0.00933 
      nan       nan     nan       nan       nan     nan       517        13 0.01733 
      nan       nan     nan       nan       nan     nan       518         7 0.00933 
      nan       nan     nan       nan       nan     nan       519        10 0.01333 
      nan       nan     nan       nan       nan     nan       520        11 0.01467 
      nan       nan     nan       nan       nan     nan       521         6 0.00800 
      nan       nan     nan       nan       nan     nan       522         7 0.00933 
      nan       nan     nan       nan       nan     nan       523        12 0.01600 
