#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./megafly_p5_a10_h5_min_sequential_fr0.00_seed13.2026.06.10.13.12_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0       159 0.00159         0       159 0.00159       106         1 0.00031 
        1     99841 0.99841         2       574 0.00574       112         3 0.00092 
      nan       nan     nan         4      3101 0.03101       113         1 0.00031 
      nan       nan     nan         5     96166 0.96166       115         2 0.00062 
      nan       nan     nan       nan       nan     nan       116         2 0.00062 
      nan       nan     nan       nan       nan     nan       117         5 0.00154 
      nan       nan     nan       nan       nan     nan       118         2 0.00062 
      nan       nan     nan       nan       nan     nan       119         5 0.00154 
      nan       nan     nan       nan       nan     nan       120         1 0.00031 
      nan       nan     nan       nan       nan     nan       121         6 0.00185 
      nan       nan     nan       nan       nan     nan       122         4 0.00123 
      nan       nan     nan       nan       nan     nan       123         6 0.00185 
      nan       nan     nan       nan       nan     nan       124         8 0.00246 
      nan       nan     nan       nan       nan     nan       125        12 0.00369 
      nan       nan     nan       nan       nan     nan       126         8 0.00246 
      nan       nan     nan       nan       nan     nan       127        11 0.00338 
      nan       nan     nan       nan       nan     nan       128        20 0.00615 
      nan       nan     nan       nan       nan     nan       129        27 0.00831 
      nan       nan     nan       nan       nan     nan       130        16 0.00492 
      nan       nan     nan       nan       nan     nan       131        30 0.00923 
      nan       nan     nan       nan       nan     nan       132        44 0.01354 
      nan       nan     nan       nan       nan     nan       133        27 0.00831 
      nan       nan     nan       nan       nan     nan       134        42 0.01292 
      nan       nan     nan       nan       nan     nan       135        46 0.01415 
      nan       nan     nan       nan       nan     nan       136        55 0.01692 
      nan       nan     nan       nan       nan     nan       137        56 0.01723 
      nan       nan     nan       nan       nan     nan       138        61 0.01877 
      nan       nan     nan       nan       nan     nan       139        60 0.01846 
      nan       nan     nan       nan       nan     nan       140        78 0.02400 
      nan       nan     nan       nan       nan     nan       141        96 0.02954 
      nan       nan     nan       nan       nan     nan       142        83 0.02554 
      nan       nan     nan       nan       nan     nan       143        65 0.02000 
      nan       nan     nan       nan       nan     nan       144        82 0.02523 
      nan       nan     nan       nan       nan     nan       145        96 0.02954 
      nan       nan     nan       nan       nan     nan       146        93 0.02862 
      nan       nan     nan       nan       nan     nan       147        91 0.02800 
      nan       nan     nan       nan       nan     nan       148        92 0.02831 
      nan       nan     nan       nan       nan     nan       149        86 0.02646 
      nan       nan     nan       nan       nan     nan       150        92 0.02831 
      nan       nan     nan       nan       nan     nan       151        89 0.02738 
      nan       nan     nan       nan       nan     nan       152        87 0.02677 
      nan       nan     nan       nan       nan     nan       153       103 0.03169 
      nan       nan     nan       nan       nan     nan       154        94 0.02892 
      nan       nan     nan       nan       nan     nan       155        91 0.02800 
      nan       nan     nan       nan       nan     nan       156        89 0.02738 
      nan       nan     nan       nan       nan     nan       157        88 0.02708 
      nan       nan     nan       nan       nan     nan       158        69 0.02123 
      nan       nan     nan       nan       nan     nan       159        90 0.02769 
      nan       nan     nan       nan       nan     nan       160        89 0.02738 
      nan       nan     nan       nan       nan     nan       161        74 0.02277 
      nan       nan     nan       nan       nan     nan       162        89 0.02738 
      nan       nan     nan       nan       nan     nan       163        60 0.01846 
      nan       nan     nan       nan       nan     nan       164        61 0.01877 
      nan       nan     nan       nan       nan     nan       165        57 0.01754 
      nan       nan     nan       nan       nan     nan       166        42 0.01292 
      nan       nan     nan       nan       nan     nan       167        52 0.01600 
      nan       nan     nan       nan       nan     nan       168        39 0.01200 
      nan       nan     nan       nan       nan     nan       169        44 0.01354 
      nan       nan     nan       nan       nan     nan       170        48 0.01477 
      nan       nan     nan       nan       nan     nan       171        30 0.00923 
      nan       nan     nan       nan       nan     nan       172        32 0.00985 
      nan       nan     nan       nan       nan     nan       173        26 0.00800 
      nan       nan     nan       nan       nan     nan       174        22 0.00677 
      nan       nan     nan       nan       nan     nan       175        20 0.00615 
      nan       nan     nan       nan       nan     nan       176        16 0.00492 
      nan       nan     nan       nan       nan     nan       177        11 0.00338 
      nan       nan     nan       nan       nan     nan       178        23 0.00708 
      nan       nan     nan       nan       nan     nan       179        18 0.00554 
      nan       nan     nan       nan       nan     nan       180        15 0.00462 
      nan       nan     nan       nan       nan     nan       181        12 0.00369 
      nan       nan     nan       nan       nan     nan       182         4 0.00123 
      nan       nan     nan       nan       nan     nan       183         6 0.00185 
      nan       nan     nan       nan       nan     nan       184         3 0.00092 
      nan       nan     nan       nan       nan     nan       185         5 0.00154 
      nan       nan     nan       nan       nan     nan       186         3 0.00092 
      nan       nan     nan       nan       nan     nan       187         4 0.00123 
      nan       nan     nan       nan       nan     nan       188         6 0.00185 
      nan       nan     nan       nan       nan     nan       189         3 0.00092 
      nan       nan     nan       nan       nan     nan       190         5 0.00154 
      nan       nan     nan       nan       nan     nan       191         1 0.00031 
      nan       nan     nan       nan       nan     nan       194         3 0.00092 
      nan       nan     nan       nan       nan     nan       195         1 0.00031 
      nan       nan     nan       nan       nan     nan       196         3 0.00092 
      nan       nan     nan       nan       nan     nan       198         2 0.00062 
      nan       nan     nan       nan       nan     nan       202         2 0.00062 
      nan       nan     nan       nan       nan     nan       206         3 0.00092 
      nan       nan     nan       nan       nan     nan       211         1 0.00031 
