#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./slimfly_p4_a5_h5_valiant_sequential_fr0.00_seed13.2026.05.19.21.16_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0       501 0.00501         0       501 0.00501       427         1 0.00133 
        1      3544 0.03544         2      1534 0.01534       434         1 0.00133 
        2     95955 0.95955         3       267 0.00267       436         2 0.00267 
      nan       nan     nan         4      1743 0.01743       439         1 0.00133 
      nan       nan     nan         5       268 0.00268       441         1 0.00133 
      nan       nan     nan         6      3372 0.03372       444         1 0.00133 
      nan       nan     nan         7     23474 0.23474       449         2 0.00267 
      nan       nan     nan         8     68841 0.68841       450         2 0.00267 
      nan       nan     nan       nan       nan     nan       455         1 0.00133 
      nan       nan     nan       nan       nan     nan       458         1 0.00133 
      nan       nan     nan       nan       nan     nan       459         1 0.00133 
      nan       nan     nan       nan       nan     nan       462         1 0.00133 
      nan       nan     nan       nan       nan     nan       463         1 0.00133 
      nan       nan     nan       nan       nan     nan       464         1 0.00133 
      nan       nan     nan       nan       nan     nan       465         1 0.00133 
      nan       nan     nan       nan       nan     nan       466         3 0.00400 
      nan       nan     nan       nan       nan     nan       467         6 0.00800 
      nan       nan     nan       nan       nan     nan       468         2 0.00267 
      nan       nan     nan       nan       nan     nan       469         2 0.00267 
      nan       nan     nan       nan       nan     nan       470         3 0.00400 
      nan       nan     nan       nan       nan     nan       471         6 0.00800 
      nan       nan     nan       nan       nan     nan       472         2 0.00267 
      nan       nan     nan       nan       nan     nan       473         2 0.00267 
      nan       nan     nan       nan       nan     nan       474         2 0.00267 
      nan       nan     nan       nan       nan     nan       475         4 0.00533 
      nan       nan     nan       nan       nan     nan       476         4 0.00533 
      nan       nan     nan       nan       nan     nan       477         6 0.00800 
      nan       nan     nan       nan       nan     nan       478         2 0.00267 
      nan       nan     nan       nan       nan     nan       479         1 0.00133 
      nan       nan     nan       nan       nan     nan       480         4 0.00533 
      nan       nan     nan       nan       nan     nan       481         6 0.00800 
      nan       nan     nan       nan       nan     nan       482         2 0.00267 
      nan       nan     nan       nan       nan     nan       483         9 0.01200 
      nan       nan     nan       nan       nan     nan       484         6 0.00800 
      nan       nan     nan       nan       nan     nan       486         6 0.00800 
      nan       nan     nan       nan       nan     nan       487         3 0.00400 
      nan       nan     nan       nan       nan     nan       488         6 0.00800 
      nan       nan     nan       nan       nan     nan       489         7 0.00933 
      nan       nan     nan       nan       nan     nan       490         8 0.01067 
      nan       nan     nan       nan       nan     nan       491         6 0.00800 
      nan       nan     nan       nan       nan     nan       492         9 0.01200 
