#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./megafly_p10_a20_h10_min_sequential_fr0.00_seed13.2026.05.12.12.15_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0        13 0.00013         0        13 0.00013         0         3 0.00006 
        1     99987 0.99987         2        96 0.00096         1        16 0.00032 
      nan       nan     nan         4       941 0.00941         2       129 0.00255 
      nan       nan     nan         5     98950 0.98950         3       433 0.00857 
      nan       nan     nan       nan       nan     nan         4      1044 0.02067 
      nan       nan     nan       nan       nan     nan         5      2082 0.04123 
      nan       nan     nan       nan       nan     nan         6      3365 0.06663 
      nan       nan     nan       nan       nan     nan         7      4800 0.09505 
      nan       nan     nan       nan       nan     nan         8      5740 0.11366 
      nan       nan     nan       nan       nan     nan         9      6318 0.12511 
      nan       nan     nan       nan       nan     nan        10      6282 0.12440 
      nan       nan     nan       nan       nan     nan        11      5583 0.11055 
      nan       nan     nan       nan       nan     nan        12      4646 0.09200 
      nan       nan     nan       nan       nan     nan        13      3576 0.07081 
      nan       nan     nan       nan       nan     nan        14      2519 0.04988 
      nan       nan     nan       nan       nan     nan        15      1666 0.03299 
      nan       nan     nan       nan       nan     nan        16      1068 0.02115 
      nan       nan     nan       nan       nan     nan        17       605 0.01198 
      nan       nan     nan       nan       nan     nan        18       296 0.00586 
      nan       nan     nan       nan       nan     nan        19       160 0.00317 
      nan       nan     nan       nan       nan     nan        20        91 0.00180 
      nan       nan     nan       nan       nan     nan        21        48 0.00095 
      nan       nan     nan       nan       nan     nan        22        18 0.00036 
      nan       nan     nan       nan       nan     nan        23         9 0.00018 
      nan       nan     nan       nan       nan     nan        24         2 0.00004 
      nan       nan     nan       nan       nan     nan        26         1 0.00002 
