#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./megafly_p7_a14_h7_min_sequential_fr0.00_seed13.2026.03.16.12.01_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0        36 0.00036         0        36 0.00036        19         1 0.00008 
        1     99964 0.99964         2       279 0.00279        20         3 0.00024 
      nan       nan     nan         4      1760 0.01760        21         2 0.00016 
      nan       nan     nan         5     97925 0.97925        22        10 0.00082 
      nan       nan     nan       nan       nan     nan        23         6 0.00049 
      nan       nan     nan       nan       nan     nan        24        17 0.00139 
      nan       nan     nan       nan       nan     nan        25        31 0.00253 
      nan       nan     nan       nan       nan     nan        26        48 0.00392 
      nan       nan     nan       nan       nan     nan        27        71 0.00580 
      nan       nan     nan       nan       nan     nan        28       105 0.00857 
      nan       nan     nan       nan       nan     nan        29       145 0.01184 
      nan       nan     nan       nan       nan     nan        30       225 0.01837 
      nan       nan     nan       nan       nan     nan        31       247 0.02016 
      nan       nan     nan       nan       nan     nan        32       323 0.02637 
      nan       nan     nan       nan       nan     nan        33       390 0.03184 
      nan       nan     nan       nan       nan     nan        34       445 0.03633 
      nan       nan     nan       nan       nan     nan        35       535 0.04367 
      nan       nan     nan       nan       nan     nan        36       610 0.04980 
      nan       nan     nan       nan       nan     nan        37       677 0.05527 
      nan       nan     nan       nan       nan     nan        38       754 0.06155 
      nan       nan     nan       nan       nan     nan        39       722 0.05894 
      nan       nan     nan       nan       nan     nan        40       785 0.06408 
      nan       nan     nan       nan       nan     nan        41       791 0.06457 
      nan       nan     nan       nan       nan     nan        42       755 0.06163 
      nan       nan     nan       nan       nan     nan        43       676 0.05518 
      nan       nan     nan       nan       nan     nan        44       676 0.05518 
      nan       nan     nan       nan       nan     nan        45       544 0.04441 
      nan       nan     nan       nan       nan     nan        46       517 0.04220 
      nan       nan     nan       nan       nan     nan        47       440 0.03592 
      nan       nan     nan       nan       nan     nan        48       386 0.03151 
      nan       nan     nan       nan       nan     nan        49       298 0.02433 
      nan       nan     nan       nan       nan     nan        50       247 0.02016 
      nan       nan     nan       nan       nan     nan        51       184 0.01502 
      nan       nan     nan       nan       nan     nan        52       148 0.01208 
      nan       nan     nan       nan       nan     nan        53       118 0.00963 
      nan       nan     nan       nan       nan     nan        54        89 0.00727 
      nan       nan     nan       nan       nan     nan        55        70 0.00571 
      nan       nan     nan       nan       nan     nan        56        55 0.00449 
      nan       nan     nan       nan       nan     nan        57        40 0.00327 
      nan       nan     nan       nan       nan     nan        58        19 0.00155 
      nan       nan     nan       nan       nan     nan        59        13 0.00106 
      nan       nan     nan       nan       nan     nan        60        16 0.00131 
      nan       nan     nan       nan       nan     nan        61         4 0.00033 
      nan       nan     nan       nan       nan     nan        62         3 0.00024 
      nan       nan     nan       nan       nan     nan        63         3 0.00024 
      nan       nan     nan       nan       nan     nan        64         2 0.00016 
      nan       nan     nan       nan       nan     nan        65         2 0.00016 
      nan       nan     nan       nan       nan     nan        66         1 0.00008 
      nan       nan     nan       nan       nan     nan        67         1 0.00008 
