#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./slimfly_p4_a5_h5_min_sequential_fr0.00_seed99.2026.05.12.12.15_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0       489 0.00489         0       489 0.00489       441         1 0.00133 
        1     99511 0.99511         2      1513 0.01513       442         2 0.00267 
      nan       nan     nan         3     14053 0.14053       443         3 0.00400 
      nan       nan     nan         4     83945 0.83945       445         2 0.00267 
      nan       nan     nan       nan       nan     nan       448         1 0.00133 
      nan       nan     nan       nan       nan     nan       451         1 0.00133 
      nan       nan     nan       nan       nan     nan       452         1 0.00133 
      nan       nan     nan       nan       nan     nan       454         1 0.00133 
      nan       nan     nan       nan       nan     nan       455         2 0.00267 
      nan       nan     nan       nan       nan     nan       456         2 0.00267 
      nan       nan     nan       nan       nan     nan       457         2 0.00267 
      nan       nan     nan       nan       nan     nan       458         2 0.00267 
      nan       nan     nan       nan       nan     nan       459         4 0.00533 
      nan       nan     nan       nan       nan     nan       460         1 0.00133 
      nan       nan     nan       nan       nan     nan       461         2 0.00267 
      nan       nan     nan       nan       nan     nan       462         4 0.00533 
      nan       nan     nan       nan       nan     nan       463         5 0.00667 
      nan       nan     nan       nan       nan     nan       464         3 0.00400 
      nan       nan     nan       nan       nan     nan       465         2 0.00267 
      nan       nan     nan       nan       nan     nan       466         4 0.00533 
      nan       nan     nan       nan       nan     nan       467         3 0.00400 
      nan       nan     nan       nan       nan     nan       468         4 0.00533 
      nan       nan     nan       nan       nan     nan       469         4 0.00533 
      nan       nan     nan       nan       nan     nan       471         3 0.00400 
      nan       nan     nan       nan       nan     nan       472         3 0.00400 
      nan       nan     nan       nan       nan     nan       473         4 0.00533 
      nan       nan     nan       nan       nan     nan       475         6 0.00800 
      nan       nan     nan       nan       nan     nan       476         8 0.01067 
      nan       nan     nan       nan       nan     nan       477         6 0.00800 
      nan       nan     nan       nan       nan     nan       478         5 0.00667 
      nan       nan     nan       nan       nan     nan       479         5 0.00667 
      nan       nan     nan       nan       nan     nan       480         2 0.00267 
      nan       nan     nan       nan       nan     nan       481         9 0.01200 
      nan       nan     nan       nan       nan     nan       482        11 0.01467 
      nan       nan     nan       nan       nan     nan       483         5 0.00667 
      nan       nan     nan       nan       nan     nan       484         9 0.01200 
      nan       nan     nan       nan       nan     nan       485         5 0.00667 
      nan       nan     nan       nan       nan     nan       486         9 0.01200 
      nan       nan     nan       nan       nan     nan       487         7 0.00933 
      nan       nan     nan       nan       nan     nan       488         8 0.01067 
      nan       nan     nan       nan       nan     nan       489         9 0.01200 
      nan       nan     nan       nan       nan     nan       490        10 0.01333 
      nan       nan     nan       nan       nan     nan       491        14 0.01867 
      nan       nan     nan       nan       nan     nan       492         8 0.01067 
      nan       nan     nan       nan       nan     nan       493        13 0.01733 
      nan       nan     nan       nan       nan     nan       494        16 0.02133 
      nan       nan     nan       nan       nan     nan       495        11 0.01467 
      nan       nan     nan       nan       nan     nan       496         6 0.00800 
      nan       nan     nan       nan       nan     nan       497         9 0.01200 
      nan       nan     nan       nan       nan     nan       498        14 0.01867 
      nan       nan     nan       nan       nan     nan       499        14 0.01867 
      nan       nan     nan       nan       nan     nan       500        12 0.01600 
      nan       nan     nan       nan       nan     nan       501        15 0.02000 
      nan       nan     nan       nan       nan     nan       502         9 0.01200 
      nan       nan     nan       nan       nan     nan       503        10 0.01333 
      nan       nan     nan       nan       nan     nan       504        14 0.01867 
      nan       nan     nan       nan       nan     nan       505        12 0.01600 
      nan       nan     nan       nan       nan     nan       506        16 0.02133 
      nan       nan     nan       nan       nan     nan       507        10 0.01333 
      nan       nan     nan       nan       nan     nan       508        14 0.01867 
      nan       nan     nan       nan       nan     nan       509        13 0.01733 
      nan       nan     nan       nan       nan     nan       510        15 0.02000 
      nan       nan     nan       nan       nan     nan       511        11 0.01467 
      nan       nan     nan       nan       nan     nan       512         8 0.01067 
      nan       nan     nan       nan       nan     nan       513        16 0.02133 
      nan       nan     nan       nan       nan     nan       514         9 0.01200 
      nan       nan     nan       nan       nan     nan       515        11 0.01467 
      nan       nan     nan       nan       nan     nan       516         6 0.00800 
      nan       nan     nan       nan       nan     nan       517        10 0.01333 
      nan       nan     nan       nan       nan     nan       518         8 0.01067 
      nan       nan     nan       nan       nan     nan       519        10 0.01333 
      nan       nan     nan       nan       nan     nan       520         9 0.01200 
      nan       nan     nan       nan       nan     nan       521         8 0.01067 
      nan       nan     nan       nan       nan     nan       522         9 0.01200 
      nan       nan     nan       nan       nan     nan       523         7 0.00933 
      nan       nan     nan       nan       nan     nan       524         6 0.00800 
      nan       nan     nan       nan       nan     nan       525         7 0.00933 
      nan       nan     nan       nan       nan     nan       526         5 0.00667 
      nan       nan     nan       nan       nan     nan       527         8 0.01067 
      nan       nan     nan       nan       nan     nan       528        15 0.02000 
      nan       nan     nan       nan       nan     nan       529        11 0.01467 
      nan       nan     nan       nan       nan     nan       530         8 0.01067 
      nan       nan     nan       nan       nan     nan       531         4 0.00533 
      nan       nan     nan       nan       nan     nan       532         8 0.01067 
      nan       nan     nan       nan       nan     nan       533         7 0.00933 
      nan       nan     nan       nan       nan     nan       534         7 0.00933 
      nan       nan     nan       nan       nan     nan       535        10 0.01333 
      nan       nan     nan       nan       nan     nan       536         6 0.00800 
      nan       nan     nan       nan       nan     nan       537         4 0.00533 
      nan       nan     nan       nan       nan     nan       538         6 0.00800 
      nan       nan     nan       nan       nan     nan       539         6 0.00800 
      nan       nan     nan       nan       nan     nan       540         6 0.00800 
      nan       nan     nan       nan       nan     nan       541         2 0.00267 
      nan       nan     nan       nan       nan     nan       542         8 0.01067 
      nan       nan     nan       nan       nan     nan       543         3 0.00400 
      nan       nan     nan       nan       nan     nan       544         2 0.00267 
      nan       nan     nan       nan       nan     nan       545         2 0.00267 
      nan       nan     nan       nan       nan     nan       546         5 0.00667 
      nan       nan     nan       nan       nan     nan       547         4 0.00533 
      nan       nan     nan       nan       nan     nan       548         7 0.00933 
      nan       nan     nan       nan       nan     nan       549         5 0.00667 
      nan       nan     nan       nan       nan     nan       550         4 0.00533 
      nan       nan     nan       nan       nan     nan       551         2 0.00267 
      nan       nan     nan       nan       nan     nan       552         1 0.00133 
      nan       nan     nan       nan       nan     nan       553         1 0.00133 
