#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./slimfly_p13_a17_h17_min_sequential_fr0.00_seed42.2026.05.12.12.15_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0        22 0.00022         0        22 0.00022         1         2 0.00007 
        1     99978 0.99978         2       156 0.00156         2         4 0.00014 
      nan       nan     nan         3      4391 0.04391         3        34 0.00115 
      nan       nan     nan         4     95431 0.95431         4        96 0.00326 
      nan       nan     nan       nan       nan     nan         5       190 0.00645 
      nan       nan     nan       nan       nan     nan         6       414 0.01404 
      nan       nan     nan       nan       nan     nan         7       803 0.02724 
      nan       nan     nan       nan       nan     nan         8      1277 0.04332 
      nan       nan     nan       nan       nan     nan         9      1706 0.05787 
      nan       nan     nan       nan       nan     nan        10      2263 0.07677 
      nan       nan     nan       nan       nan     nan        11      2663 0.09034 
      nan       nan     nan       nan       nan     nan        12      2958 0.10035 
      nan       nan     nan       nan       nan     nan        13      3095 0.10499 
      nan       nan     nan       nan       nan     nan        14      3025 0.10262 
      nan       nan     nan       nan       nan     nan        15      2635 0.08939 
      nan       nan     nan       nan       nan     nan        16      2306 0.07823 
      nan       nan     nan       nan       nan     nan        17      1764 0.05984 
      nan       nan     nan       nan       nan     nan        18      1444 0.04899 
      nan       nan     nan       nan       nan     nan        19      1017 0.03450 
      nan       nan     nan       nan       nan     nan        20       667 0.02263 
      nan       nan     nan       nan       nan     nan        21       432 0.01465 
      nan       nan     nan       nan       nan     nan        22       257 0.00872 
      nan       nan     nan       nan       nan     nan        23       188 0.00638 
      nan       nan     nan       nan       nan     nan        24       110 0.00373 
      nan       nan     nan       nan       nan     nan        25        66 0.00224 
      nan       nan     nan       nan       nan     nan        26        27 0.00092 
      nan       nan     nan       nan       nan     nan        27        15 0.00051 
      nan       nan     nan       nan       nan     nan        28        12 0.00041 
      nan       nan     nan       nan       nan     nan        29         6 0.00020 
      nan       nan     nan       nan       nan     nan        30         1 0.00003 
      nan       nan     nan       nan       nan     nan        33         1 0.00003 
