#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./megafly_p8_a16_h8_min_sequential_fr0.00_seed13.2026.03.27.11.18_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0        28 0.00028         0        28 0.00028         5         1 0.00005 
        1     99972 0.99972         2       184 0.00184         8         2 0.00010 
      nan       nan     nan         4      1298 0.01298         9         5 0.00024 
      nan       nan     nan         5     98490 0.98490        10        15 0.00072 
      nan       nan     nan       nan       nan     nan        11        30 0.00144 
      nan       nan     nan       nan       nan     nan        12        62 0.00298 
      nan       nan     nan       nan       nan     nan        13       118 0.00567 
      nan       nan     nan       nan       nan     nan        14       189 0.00909 
      nan       nan     nan       nan       nan     nan        15       350 0.01683 
      nan       nan     nan       nan       nan     nan        16       454 0.02183 
      nan       nan     nan       nan       nan     nan        17       634 0.03048 
      nan       nan     nan       nan       nan     nan        18       889 0.04274 
      nan       nan     nan       nan       nan     nan        19      1088 0.05231 
      nan       nan     nan       nan       nan     nan        20      1316 0.06327 
      nan       nan     nan       nan       nan     nan        21      1475 0.07091 
      nan       nan     nan       nan       nan     nan        22      1613 0.07755 
      nan       nan     nan       nan       nan     nan        23      1646 0.07913 
      nan       nan     nan       nan       nan     nan        24      1703 0.08188 
      nan       nan     nan       nan       nan     nan        25      1645 0.07909 
      nan       nan     nan       nan       nan     nan        26      1465 0.07043 
      nan       nan     nan       nan       nan     nan        27      1328 0.06385 
      nan       nan     nan       nan       nan     nan        28      1120 0.05385 
      nan       nan     nan       nan       nan     nan        29       967 0.04649 
      nan       nan     nan       nan       nan     nan        30       775 0.03726 
      nan       nan     nan       nan       nan     nan        31       537 0.02582 
      nan       nan     nan       nan       nan     nan        32       393 0.01889 
      nan       nan     nan       nan       nan     nan        33       321 0.01543 
      nan       nan     nan       nan       nan     nan        34       221 0.01063 
      nan       nan     nan       nan       nan     nan        35       160 0.00769 
      nan       nan     nan       nan       nan     nan        36       113 0.00543 
      nan       nan     nan       nan       nan     nan        37        69 0.00332 
      nan       nan     nan       nan       nan     nan        38        37 0.00178 
      nan       nan     nan       nan       nan     nan        39        23 0.00111 
      nan       nan     nan       nan       nan     nan        40        15 0.00072 
      nan       nan     nan       nan       nan     nan        41        12 0.00058 
      nan       nan     nan       nan       nan     nan        42         2 0.00010 
      nan       nan     nan       nan       nan     nan        43         2 0.00010 
      nan       nan     nan       nan       nan     nan        44         4 0.00019 
      nan       nan     nan       nan       nan     nan        47         1 0.00005 
