#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./slimfly_p13_a17_h17_min_sequential_fr0.00_seed13.2026.05.12.12.15_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0        13 0.00013         0        13 0.00013         1         1 0.00003 
        1     99987 0.99987         2       159 0.00159         2         7 0.00024 
      nan       nan     nan         3      4374 0.04374         3        26 0.00088 
      nan       nan     nan         4     95454 0.95454         4        85 0.00288 
      nan       nan     nan       nan       nan     nan         5       220 0.00746 
      nan       nan     nan       nan       nan     nan         6       430 0.01459 
      nan       nan     nan       nan       nan     nan         7       770 0.02612 
      nan       nan     nan       nan       nan     nan         8      1213 0.04115 
      nan       nan     nan       nan       nan     nan         9      1774 0.06018 
      nan       nan     nan       nan       nan     nan        10      2262 0.07674 
      nan       nan     nan       nan       nan     nan        11      2735 0.09278 
      nan       nan     nan       nan       nan     nan        12      3014 0.10225 
      nan       nan     nan       nan       nan     nan        13      3071 0.10418 
      nan       nan     nan       nan       nan     nan        14      2869 0.09733 
      nan       nan     nan       nan       nan     nan        15      2677 0.09081 
      nan       nan     nan       nan       nan     nan        16      2269 0.07697 
      nan       nan     nan       nan       nan     nan        17      1754 0.05950 
      nan       nan     nan       nan       nan     nan        18      1441 0.04888 
      nan       nan     nan       nan       nan     nan        19      1016 0.03447 
      nan       nan     nan       nan       nan     nan        20       685 0.02324 
      nan       nan     nan       nan       nan     nan        21       439 0.01489 
      nan       nan     nan       nan       nan     nan        22       320 0.01086 
      nan       nan     nan       nan       nan     nan        23       185 0.00628 
      nan       nan     nan       nan       nan     nan        24        91 0.00309 
      nan       nan     nan       nan       nan     nan        25        65 0.00221 
      nan       nan     nan       nan       nan     nan        26        32 0.00109 
      nan       nan     nan       nan       nan     nan        27        12 0.00041 
      nan       nan     nan       nan       nan     nan        28        13 0.00044 
      nan       nan     nan       nan       nan     nan        29         1 0.00003 
      nan       nan     nan       nan       nan     nan        30         1 0.00003 
