#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./slimfly_p4_a5_h5_min_sequential_fr0.00_seed13.2026.03.12.11.24_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0       507 0.00507         0       507 0.00507       358         1 0.00133 
        1     99493 0.99493         2      1541 0.01541       359         2 0.00267 
      nan       nan     nan         3     13785 0.13785       360         1 0.00133 
      nan       nan     nan         4     52364 0.52364       361         2 0.00267 
      nan       nan     nan         5     31803 0.31803       363         1 0.00133 
      nan       nan     nan       nan       nan     nan       364         1 0.00133 
      nan       nan     nan       nan       nan     nan       365         1 0.00133 
      nan       nan     nan       nan       nan     nan       366         3 0.00400 
      nan       nan     nan       nan       nan     nan       367         2 0.00267 
      nan       nan     nan       nan       nan     nan       368         2 0.00267 
      nan       nan     nan       nan       nan     nan       369         2 0.00267 
      nan       nan     nan       nan       nan     nan       370         1 0.00133 
      nan       nan     nan       nan       nan     nan       373         1 0.00133 
      nan       nan     nan       nan       nan     nan       375         1 0.00133 
      nan       nan     nan       nan       nan     nan       376         2 0.00267 
      nan       nan     nan       nan       nan     nan       377         1 0.00133 
      nan       nan     nan       nan       nan     nan       378         1 0.00133 
      nan       nan     nan       nan       nan     nan       379         2 0.00267 
      nan       nan     nan       nan       nan     nan       380         2 0.00267 
      nan       nan     nan       nan       nan     nan       381         3 0.00400 
      nan       nan     nan       nan       nan     nan       382         6 0.00800 
      nan       nan     nan       nan       nan     nan       383         6 0.00800 
      nan       nan     nan       nan       nan     nan       384         5 0.00667 
      nan       nan     nan       nan       nan     nan       385         4 0.00533 
      nan       nan     nan       nan       nan     nan       386         4 0.00533 
      nan       nan     nan       nan       nan     nan       387         4 0.00533 
      nan       nan     nan       nan       nan     nan       388         5 0.00667 
      nan       nan     nan       nan       nan     nan       389         8 0.01067 
      nan       nan     nan       nan       nan     nan       390         5 0.00667 
      nan       nan     nan       nan       nan     nan       391         2 0.00267 
      nan       nan     nan       nan       nan     nan       392         1 0.00133 
      nan       nan     nan       nan       nan     nan       393         2 0.00267 
      nan       nan     nan       nan       nan     nan       394         1 0.00133 
      nan       nan     nan       nan       nan     nan       395         6 0.00800 
      nan       nan     nan       nan       nan     nan       396         2 0.00267 
      nan       nan     nan       nan       nan     nan       397         3 0.00400 
      nan       nan     nan       nan       nan     nan       398         4 0.00533 
      nan       nan     nan       nan       nan     nan       399         2 0.00267 
      nan       nan     nan       nan       nan     nan       400         5 0.00667 
      nan       nan     nan       nan       nan     nan       401         4 0.00533 
      nan       nan     nan       nan       nan     nan       402         5 0.00667 
      nan       nan     nan       nan       nan     nan       403         2 0.00267 
      nan       nan     nan       nan       nan     nan       404         4 0.00533 
      nan       nan     nan       nan       nan     nan       405         2 0.00267 
      nan       nan     nan       nan       nan     nan       406         3 0.00400 
      nan       nan     nan       nan       nan     nan       407         4 0.00533 
      nan       nan     nan       nan       nan     nan       408         3 0.00400 
      nan       nan     nan       nan       nan     nan       409         2 0.00267 
      nan       nan     nan       nan       nan     nan       410         2 0.00267 
      nan       nan     nan       nan       nan     nan       411         7 0.00933 
