#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./dragonfly-cir_p6_a6_h5_min_sequential_fr0.00_seed13.2026.03.27.11.20_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
      nan       nan     nan       nan       nan     nan       166        21 0.00513 
      nan       nan     nan       nan       nan     nan       167        21 0.00513 
      nan       nan     nan       nan       nan     nan       168        14 0.00342 
      nan       nan     nan       nan       nan     nan       169        20 0.00489 
      nan       nan     nan       nan       nan     nan       170        26 0.00635 
      nan       nan     nan       nan       nan     nan       171        25 0.00611 
      nan       nan     nan       nan       nan     nan       172        16 0.00391 
      nan       nan     nan       nan       nan     nan       173        27 0.00660 
      nan       nan     nan       nan       nan     nan       174        26 0.00635 
      nan       nan     nan       nan       nan     nan       175        29 0.00709 
      nan       nan     nan       nan       nan     nan       176        40 0.00978 
      nan       nan     nan       nan       nan     nan       177        30 0.00733 
      nan       nan     nan       nan       nan     nan       178        20 0.00489 
      nan       nan     nan       nan       nan     nan       179        28 0.00684 
      nan       nan     nan       nan       nan     nan       180        35 0.00855 
      nan       nan     nan       nan       nan     nan       181        32 0.00782 
      nan       nan     nan       nan       nan     nan       182        29 0.00709 
      nan       nan     nan       nan       nan     nan       183        31 0.00758 
      nan       nan     nan       nan       nan     nan       184        18 0.00440 
      nan       nan     nan       nan       nan     nan       185        21 0.00513 
      nan       nan     nan       nan       nan     nan       186        12 0.00293 
      nan       nan     nan       nan       nan     nan       187        18 0.00440 
      nan       nan     nan       nan       nan     nan       188        13 0.00318 
      nan       nan     nan       nan       nan     nan       189        23 0.00562 
      nan       nan     nan       nan       nan     nan       190        13 0.00318 
      nan       nan     nan       nan       nan     nan       191        22 0.00538 
      nan       nan     nan       nan       nan     nan       192        12 0.00293 
      nan       nan     nan       nan       nan     nan       193        10 0.00244 
      nan       nan     nan       nan       nan     nan       194        17 0.00415 
      nan       nan     nan       nan       nan     nan       195        10 0.00244 
      nan       nan     nan       nan       nan     nan       196         7 0.00171 
      nan       nan     nan       nan       nan     nan       197         9 0.00220 
      nan       nan     nan       nan       nan     nan       198         8 0.00196 
      nan       nan     nan       nan       nan     nan       199         6 0.00147 
      nan       nan     nan       nan       nan     nan       200         9 0.00220 
      nan       nan     nan       nan       nan     nan       201         3 0.00073 
      nan       nan     nan       nan       nan     nan       202         3 0.00073 
