#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./megafly_p10_a20_h10_min_sequential_fr0.00_seed99.2026.05.12.12.15_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0         5 0.00005         0         5 0.00005         0         4 0.00008 
        1     99995 0.99995         2        82 0.00082         1        28 0.00055 
      nan       nan     nan         4       925 0.00925         2       124 0.00246 
      nan       nan     nan         5     98988 0.98988         3       383 0.00758 
      nan       nan     nan       nan       nan     nan         4      1022 0.02024 
      nan       nan     nan       nan       nan     nan         5      2067 0.04093 
      nan       nan     nan       nan       nan     nan         6      3213 0.06362 
      nan       nan     nan       nan       nan     nan         7      4732 0.09370 
      nan       nan     nan       nan       nan     nan         8      5863 0.11610 
      nan       nan     nan       nan       nan     nan         9      6409 0.12691 
      nan       nan     nan       nan       nan     nan        10      6388 0.12650 
      nan       nan     nan       nan       nan     nan        11      5692 0.11271 
      nan       nan     nan       nan       nan     nan        12      4747 0.09400 
      nan       nan     nan       nan       nan     nan        13      3494 0.06919 
      nan       nan     nan       nan       nan     nan        14      2498 0.04947 
      nan       nan     nan       nan       nan     nan        15      1659 0.03285 
      nan       nan     nan       nan       nan     nan        16       998 0.01976 
      nan       nan     nan       nan       nan     nan        17       567 0.01123 
      nan       nan     nan       nan       nan     nan        18       302 0.00598 
      nan       nan     nan       nan       nan     nan        19       157 0.00311 
      nan       nan     nan       nan       nan     nan        20        86 0.00170 
      nan       nan     nan       nan       nan     nan        21        26 0.00051 
      nan       nan     nan       nan       nan     nan        22        19 0.00038 
      nan       nan     nan       nan       nan     nan        23        11 0.00022 
      nan       nan     nan       nan       nan     nan        24         5 0.00010 
      nan       nan     nan       nan       nan     nan        25         5 0.00010 
      nan       nan     nan       nan       nan     nan        26         1 0.00002 
