#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./megafly_p10_a20_h10_min_sequential_fr0.00_seed42.2026.05.12.12.15_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0         2 0.00002         0         2 0.00002         0         2 0.00004 
        1     99998 0.99998         2        94 0.00094         1        29 0.00057 
      nan       nan     nan         4       905 0.00905         2       129 0.00255 
      nan       nan     nan         5     98999 0.98999         3       432 0.00855 
      nan       nan     nan       nan       nan     nan         4       995 0.01970 
      nan       nan     nan       nan       nan     nan         5      2048 0.04055 
      nan       nan     nan       nan       nan     nan         6      3361 0.06655 
      nan       nan     nan       nan       nan     nan         7      4673 0.09253 
      nan       nan     nan       nan       nan     nan         8      5935 0.11752 
      nan       nan     nan       nan       nan     nan         9      6453 0.12778 
      nan       nan     nan       nan       nan     nan        10      6203 0.12283 
      nan       nan     nan       nan       nan     nan        11      5585 0.11059 
      nan       nan     nan       nan       nan     nan        12      4597 0.09103 
      nan       nan     nan       nan       nan     nan        13      3633 0.07194 
      nan       nan     nan       nan       nan     nan        14      2505 0.04960 
      nan       nan     nan       nan       nan     nan        15      1591 0.03150 
      nan       nan     nan       nan       nan     nan        16      1074 0.02127 
      nan       nan     nan       nan       nan     nan        17       616 0.01220 
      nan       nan     nan       nan       nan     nan        18       324 0.00642 
      nan       nan     nan       nan       nan     nan        19       148 0.00293 
      nan       nan     nan       nan       nan     nan        20        95 0.00188 
      nan       nan     nan       nan       nan     nan        21        40 0.00079 
      nan       nan     nan       nan       nan     nan        22        15 0.00030 
      nan       nan     nan       nan       nan     nan        23         9 0.00018 
      nan       nan     nan       nan       nan     nan        24         6 0.00012 
      nan       nan     nan       nan       nan     nan        25         1 0.00002 
      nan       nan     nan       nan       nan     nan        27         1 0.00002 
